ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,TARGET
5000000,F,Y,Y,1,298900.0,Working,Secondary / secondary special,Married,House / apartment,-10897,-3866,1,0,0,0,Secretaries,3,1
5000001,F,Y,Y,1,519100.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13879,-5521,1,0,0,0,Realty agents,3,0
5000002,F,Y,N,0,322200.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-13309,0,1,0,0,0,Sales staff,2,1
5000003,F,N,Y,0,133300.0,State servant,Higher education,Married,House / apartment,-16785,0,1,0,0,1,Realty agents,2,1
5000004,M,N,Y,0,206800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17047,365243,1,0,0,0,HR staff,1,1
5000005,F,Y,Y,0,205600.0,Working,Secondary / secondary special,Married,House / apartment,-24783,-2689,1,0,1,0,High skill tech staff,2,1
5000006,F,Y,Y,1,269200.0,Pensioner,Incomplete higher,Civil marriage,House / apartment,-18067,365243,1,0,0,0,High skill tech staff,2,1
5000007,F,N,N,0,258700.0,Commercial associate,Higher education,Married,House / apartment,-20255,-2095,1,1,1,0,Medicine staff,2,1
5000008,M,N,Y,2,220200.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-20480,-3000,1,0,0,0,Low-skill Laborers,4,1
5000009,F,N,N,0,271700.0,State servant,Secondary / secondary special,Married,House / apartment,-22999,0,1,0,1,0,Waiters/barmen staff,1,1
5000010,M,Y,N,2,172800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8133,-2377,1,0,1,0,Medicine staff,4,0
5000011,F,Y,Y,3,194600.0,Working,Higher education,Married,House / apartment,-9831,-2875,1,1,0,1,HR staff,5,0
5000012,F,N,N,0,250400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10703,0,1,0,0,0,High skill tech staff,2,0
5000013,F,N,Y,2,104300.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15210,365243,1,0,0,0,Secretaries,4,0
5000014,F,N,Y,1,188600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12997,-132,1,0,0,0,IT staff,3,1
5000015,M,N,Y,2,107900.0,Working,Secondary / secondary special,Civil marriage,With parents,-17120,-2059,1,0,0,0,Managers,3,0
5000016,F,Y,Y,0,241900.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10401,-280,1,1,0,0,Realty agents,2,0
5000017,M,N,Y,2,160300.0,Pensioner,Secondary / secondary special,Married,With parents,-17249,365243,1,0,0,0,Managers,4,1
5000018,F,Y,Y,0,169400.0,Working,Secondary / secondary special,Married,House / apartment,-10211,-3040,1,0,0,0,Core staff,2,0
5000019,F,Y,Y,0,326000.0,State servant,Secondary / secondary special,Civil marriage,With parents,-9103,-1668,1,0,0,0,Secretaries,2,0
5000020,F,N,N,4,294400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13188,-2386,1,1,0,0,Accountants,5,0
5000021,M,N,Y,3,283400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-7673,-1483,1,0,1,0,Drivers,5,1
5000022,F,N,Y,0,215900.0,Working,Secondary / secondary special,Married,House / apartment,-24945,-1412,1,0,0,0,Sales staff,1,1
5000023,F,N,N,0,222900.0,Working,Secondary / secondary special,Married,House / apartment,-21854,-1252,1,0,0,1,Low-skill Laborers,1,1
5000024,F,N,Y,4,165300.0,Working,Secondary / secondary special,Married,Rented apartment,-19504,-1697,1,0,0,0,Core staff,5,0
5000025,M,N,N,0,291000.0,Working,Secondary / secondary special,Married,House / apartment,-16168,-2684,1,0,1,0,High skill tech staff,2,0
5000026,F,Y,N,0,186700.0,Commercial associate,Higher education,Married,House / apartment,-20915,-215,1,0,0,0,Managers,2,0
5000027,M,N,N,0,189400.0,Pensioner,Incomplete higher,Civil marriage,Municipal apartment,-12160,365243,1,1,1,0,Medicine staff,1,1
5000028,M,N,Y,0,292500.0,Student,Secondary / secondary special,Married,House / apartment,-24717,-3643,1,0,0,0,Waiters/barmen staff,2,1
5000029,F,N,N,0,148100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10396,-4919,1,0,0,0,IT staff,1,0
5000030,F,N,N,1,130300.0,State servant,Secondary / secondary special,Married,Office apartment,-24438,-1837,1,0,0,0,Accountants,2,1
5000031,F,N,N,0,360900.0,Pensioner,Higher education,Married,House / apartment,-25120,365243,1,0,0,1,Core staff,2,1
5000032,M,Y,N,1,213600.0,Working,Higher education,Separated,House / apartment,-22811,-2012,1,0,0,0,Realty agents,2,0
5000033,M,Y,Y,0,246800.0,Working,Higher education,Single / not married,House / apartment,-19767,-1874,1,0,0,0,HR staff,2,0
5000034,F,N,Y,1,101500.0,Pensioner,Incomplete higher,Married,House / apartment,-21430,365243,1,0,0,0,Accountants,3,1
5000035,M,Y,N,0,168000.0,Commercial associate,Higher education,Married,House / apartment,-21234,-1226,1,0,0,0,Private service staff,1,0
5000036,M,N,Y,1,174200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15187,365243,1,1,0,0,Low-skill Laborers,3,1
5000037,F,Y,Y,2,371900.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-20275,-1254,1,1,0,0,Secretaries,3,1
5000038,M,Y,Y,1,134500.0,Working,Secondary / secondary special,Married,House / apartment,-12341,-1590,1,0,0,0,Secretaries,2,1
5000039,F,N,N,0,316900.0,Working,Secondary / secondary special,Married,Municipal apartment,-17310,-1155,1,0,1,0,Secretaries,2,1
5000040,F,N,N,2,401700.0,Working,Secondary / secondary special,Married,House / apartment,-9703,0,1,1,0,1,Core staff,4,1
5000041,F,N,N,0,277300.0,Commercial associate,Higher education,Married,House / apartment,-10367,-2669,1,1,0,0,Realty agents,1,0
5000042,F,Y,Y,0,229200.0,Working,Higher education,Widow,House / apartment,-12624,-3122,1,0,0,0,Low-skill Laborers,2,0
5000043,M,N,Y,2,384200.0,Working,Secondary / secondary special,Married,House / apartment,-15004,-257,1,0,1,0,Sales staff,3,1
5000044,F,N,Y,0,463300.0,Working,Secondary / secondary special,Separated,House / apartment,-18804,-2608,1,0,0,0,Laborers,1,1
5000045,F,N,N,0,254100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18716,-1611,1,0,0,1,Secretaries,2,0
5000046,M,Y,Y,3,172200.0,Working,Higher education,Married,House / apartment,-24219,-1818,1,0,1,0,High skill tech staff,4,1
